id,name
1,openml.evaluation.EuclideanDistance
2,openml.evaluation.PolynomialKernel
3,openml.evaluation.RBFKernel
4,openml.evaluation.area_under_roc_curve
5,openml.evaluation.average_cost
6,openml.evaluation.build_cpu_time
7,openml.evaluation.build_memory
8,openml.evaluation.class_complexity
9,openml.evaluation.class_complexity_gain
10,openml.evaluation.confusion_matrix
11,openml.evaluation.correlation_coefficient
12,openml.evaluation.f_measure
13,openml.evaluation.kappa
14,openml.evaluation.kb_relative_information_score
15,openml.evaluation.kohavi_wolpert_bias_squared
16,openml.evaluation.kohavi_wolpert_error
17,openml.evaluation.kohavi_wolpert_sigma_squared
18,openml.evaluation.kohavi_wolpert_variance
19,openml.evaluation.kononenko_bratko_information_score
20,openml.evaluation.matthews_correlation_coefficient
21,openml.evaluation.mean_absolute_error
22,openml.evaluation.mean_class_complexity
23,openml.evaluation.mean_class_complexity_gain
24,openml.evaluation.mean_f_measure
25,openml.evaluation.mean_kononenko_bratko_information_score
26,openml.evaluation.mean_precision
27,openml.evaluation.mean_prior_absolute_error
28,openml.evaluation.mean_prior_class_complexity
29,openml.evaluation.mean_recall
30,openml.evaluation.mean_weighted_area_under_roc_curve
31,openml.evaluation.mean_weighted_f_measure
32,openml.evaluation.mean_weighted_precision
33,openml.evaluation.mean_weighted_recall
34,openml.evaluation.number_of_instances
35,openml.evaluation.precision
36,openml.evaluation.predictive_accuracy
37,openml.evaluation.prior_class_complexity
38,openml.evaluation.prior_entropy
39,openml.evaluation.recall
40,openml.evaluation.relative_absolute_error
41,openml.evaluation.root_mean_prior_squared_error
42,openml.evaluation.root_mean_squared_error
43,openml.evaluation.root_relative_squared_error
44,openml.evaluation.run_cpu_time
45,openml.evaluation.run_memory
46,openml.evaluation.run_virtual_memory
47,openml.evaluation.single_point_area_under_roc_curve
48,openml.evaluation.total_cost
49,openml.evaluation.unclassified_instance_count
50,openml.evaluation.webb_bias
51,openml.evaluation.webb_error
52,openml.evaluation.webb_variance
53,openml.userdefined.os_information
54,openml.userdefined.ram_hours
55,openml.userdefined.scimark_benchmark
56,weka.ZeroR
57,weka.OneR
58,weka.NaiveBayes
59,weka.JRip
60,weka.J48
61,weka.REPTree
62,weka.DecisionStump
63,weka.HoeffdingTree
64,weka.RandomTree
65,weka.RandomForest
66,weka.IBk
67,weka.BayesNet_K2
68,weka.K2
69,weka.SGD
70,weka.SMO_PolyKernel
71,weka.PolyKernel
72,weka.SMO_RBFKernel
73,weka.RBFKernel
74,weka.Logistic
75,weka.AdaBoostM1_DecisionStump
76,weka.Bagging_REPTree
77,weka.LogitBoost_DecisionStump
78,moa.NaiveBayes
79,moa.SGD
80,moa.HoeffdingTree
81,moa.kNN
82,moa.LeveragingBag_kNN
83,moa.LeveragingBag_HoeffdingTree
84,moa.OzaBag_HoeffdingTree
85,moa.OzaBagAdwin_HoeffdingTree
86,moa.OzaBoost_HoeffdingTree
87,moa.OzaBoostAdwin_HoeffdingTree
88,moa.AMRules
89,moa.RandomRules_AMRules
90,moa.Perceptron
91,moa.RuleClassifier
92,moa.ASHoeffdingTree
93,moa.FIMTDD
94,moa.HoeffdingAdaptiveTree
95,moa.RandomHoeffdingTree
96,moa.NoChange
97,moa.MajorityClass
98,moa.SPegasos
99,moa.WEKAClassifier_J48
100,weka.J48
101,moa.WEKAClassifier_REPTree
102,weka.REPTree
103,moa.WEKAClassifier_OneR
104,weka.OneR
105,moa.WEKAClassifier
106,moa.WEKAClassifier_LinearRegression
107,weka.LinearRegression
108,moa.WEKAClassifier_SMO_PolyKernel
109,weka.SMO_PolyKernel
110,weka.PolyKernel
112,weka.REPTree
118,weka.REPTree
119,weka.NaiveBayesMultinomial
120,weka.NaiveBayesMultinomialUpdateable
121,weka.NaiveBayesUpdateable
122,weka.GaussianProcesses_PolyKernel
123,weka.LinearRegression
124,weka.MultilayerPerceptron
126,weka.SimpleLogistic
128,weka.RegSMOImproved
129,weka.VotedPerceptron
130,weka.KStar
131,weka.LWL_DecisionStump
132,weka.AdditiveRegression_DecisionStump
133,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_J48
134,weka.CfsSubsetEval
135,weka.BestFirst
136,weka.ClassificationViaRegression_M5P
137,weka.M5P
138,weka.CVParameterSelection_ZeroR
139,weka.FilteredClassifier_Discretize_J48
140,weka.Discretize
141,weka.MultiClassClassifier_Logistic
142,weka.MultiClassClassifierUpdateable_SGD
143,weka.MultiScheme_ZeroR
144,weka.RandomCommittee_RandomTree
145,weka.RandomSubSpace_REPTree
147,weka.Vote_ZeroR
148,weka.DecisionTable_BestFirst
149,weka.M5Rules
150,weka.PART
151,weka.LMT
152,weka.GaussianProcesses_RBFKernel
153,weka.Bagging_RandomTree
154,weka.Bagging_DecisionStump
155,weka.Bagging_LMT
156,weka.Bagging_J48
157,weka.Bagging_OneR
158,weka.Bagging_JRip
159,weka.Bagging_BFTree
160,weka.BFTree
162,weka.ADTree
163,weka.Bagging_LADTree
164,weka.LADTree
165,weka.Bagging_RandomForest
166,weka.Bagging_NaiveBayes
168,weka.BayesianLogisticRegression
170,weka.HNB
172,weka.GaussianProcesses_PolyKernel
174,weka.Bagging_MultilayerPerceptron
175,weka.Bagging_SMO_PolyKernel
176,weka.SMO_PolyKernel
179,weka.SPegasos
180,weka.Bagging_IBk
181,weka.Bagging_LWL_DecisionStump
182,weka.MultiBoostAB_DecisionStump
183,weka.MultiBoostAB_RandomTree
184,weka.MultiBoostAB_RandomForest
185,weka.MultiBoostAB_REPTree
186,weka.MultiBoostAB_LMT
187,weka.MultiBoostAB_J48
188,weka.MultiBoostAB_OneR
189,weka.MultiBoostAB_JRip
190,weka.MultiBoostAB_BFTree
192,weka.MultiBoostAB_LADTree
193,weka.MultiBoostAB_NaiveBayes
198,weka.MultiBoostAB_MultilayerPerceptron
199,weka.MultiBoostAB_SMO_PolyKernel
201,weka.MultiBoostAB_IBk
202,weka.MultiBoostAB_LWL_DecisionStump
204,weka.AdaBoostM1_RandomTree
205,weka.AdaBoostM1_LMT
206,weka.AdaBoostM1_REPTree
207,weka.AdaBoostM1_J48
208,weka.AdaBoostM1_OneR
209,weka.AdaBoostM1_JRip
210,weka.AdaBoostM1_BFTree
212,weka.AdaBoostM1_LADTree
213,weka.AdaBoostM1_RandomForest
214,weka.AdaBoostM1_NaiveBayes
219,weka.AdaBoostM1_MultilayerPerceptron
220,weka.AdaBoostM1_SMO_PolyKernel
222,weka.AdaBoostM1_IBk
223,weka.AdaBoostM1_LWL_DecisionStump
225,weka.A1DE
226,weka.A2DE
227,weka.BayesNet_GeneticSearch
228,weka.GeneticSearch
229,weka.BayesNet_HillClimber
230,weka.HillClimber
231,weka.BayesNet_LAGDHillClimber
232,weka.LAGDHillClimber
233,weka.BayesNet_RepeatedHillClimber
234,weka.RepeatedHillClimber
235,weka.BayesNet_SimulatedAnnealing
236,weka.SimulatedAnnealing
237,weka.BayesNet_TabuSearch
238,weka.TabuSearch
239,weka.BayesNet_TAN
240,weka.TAN
241,weka.ComplementNaiveBayes
242,weka.IsotonicRegression
243,weka.RotationForest_PrincipalComponents_J48
244,weka.PrincipalComponents
245,weka.RotationForest_PrincipalComponents_REPTree
246,weka.RotationForest_PrincipalComponents_RandomTree
247,weka.RotationForest_PrincipalComponents_RandomForest
248,weka.RotationForest_PrincipalComponents_LMT
249,weka.RotationForest_PrincipalComponents_DecisionStump
250,weka.RotationForest_PrincipalComponents_JRip
251,weka.RotationForest_PrincipalComponents_OneR
252,weka.RotationForest_PrincipalComponents_ZeroR
253,weka.RotationForest_PrincipalComponents_IBk
254,weka.RotationForest_PrincipalComponents_NaiveBayes
255,weka.RotationForest_PrincipalComponents_HNB
256,weka.RotationForest_PrincipalComponents_MultilayerPerceptron
257,weka.RotationForest_PrincipalComponents_SMO_PolyKernel
258,weka.RotationForest_PrincipalComponents_SPegasos
259,weka.GaussianProcesses_NormalizedPolyKernel
260,weka.NormalizedPolyKernel
261,weka.GaussianProcesses_PrecomputedKernelMatrixKernel
262,weka.PrecomputedKernelMatrixKernel
263,weka.GaussianProcesses_Puk
